ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask	CanShared	MapBanTradeItemMask	MapCanExistItemMask	FurnitureID
10	麦仙翁	家园种植	164671	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	788
11	橙色葵百合	家园种植	164672	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	859
12	无名芳蕨	家园种植	164673	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	860
13	蓝紫混色似秋英	家园种植	164674	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	892
14	射干	家园种植	164675	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	1322
15	紫花地丁	家园种植	164676	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	1324
16	粉色野花	家园种植	164677	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	1325
17	蓝瓣八仙花	家园种植	164678	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	861
18	绯色八仙花	家园种植	164679	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	862
19	红荣八仙花	家园种植	164680	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	863
20	紫瓣八仙花	家园种植	164681	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	864
21	纯白八仙花	家园种植	164682	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	865
22	黄蕊八仙花	家园种植	164683	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	866
23	碧华百合	家园种植	164684	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	867
24	灿晖百合	家园种植	164685	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	868
25	绯色百合	家园种植	164686	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	869
26	白花百合	家园种植	164687	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	870
27	黄蕊百合	家园种植	164688	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	871
28	蓝锦牵牛	家园种植	164689	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	872
29	绯锦牵牛	家园种植	164690	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	873
30	红锦牵牛	家园种植	164691	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	874
31	紫锦牵牛	家园种植	164692	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	875
32	黄锦牵牛	家园种植	164693	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	876
33	夜雨玫瑰	家园种植	164694	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	877
34	湖风玫瑰	家园种植	164695	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	878
35	涵春玫瑰	家园种植	164696	20	1	1	4	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	879
36	灿晖玫瑰	家园种植	164697	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	880
37	粉团玫瑰	家园种植	164698	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	881
38	朱楼玫瑰	家园种植	164699	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	882
39	禁彩玫瑰	家园种植	164700	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	883
40	素信玫瑰	家园种植	164701	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	884
41	虹霞玫瑰	家园种植	164702	20	1	1	4	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	885
42	曦晖玫瑰	家园种植	164703	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	886
43	彩色郁金香	家园种植	164704	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	887
44	绯色郁金香	家园种植	164705	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	888
45	红郁金香	家园种植	164706	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	889
46	白郁金香	家园种植	164707	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	890
47	黄郁金香	家园种植	164708	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	891
48	荧蓝菌	家园种植	164709	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	894
49	荧红菌	家园种植	164710	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	895
50	荧紫菌	家园种植	164711	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	896
51	荧白菌	家园种植	164712	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	897
52	荧黄菌	家园种植	164713	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	898
53	蔓墙藤	宠物出行	164714	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	604
54	苗疆菇群	宠物出行	164715	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	605
55	歌朵兰漠仙人掌	宠物出行	164716	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	606
56	毛竹春笋	宠物出行	164717	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	607
57	琉球社灯檠	宠物出行	164718	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	625
58	黍离悲	宠物出行	164719	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	631
59	巨型毒伞菌	宠物出行	164720	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	584
60	日晷	宠物出行	164721	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	590
61	山城玉象饰件	宠物出行	164722	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	591
62	兽面纹黄铜鼎	宠物出行	164723	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	592
63	乌路蛇石像	宠物出行	164724	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	620
64	柳氏石柱	宠物出行	164725	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	638
65	堕凡尘	宠物出行	164726	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	649
66	西湖石剑	宠物出行	164727	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	657
67	黄杨根灯檠	宠物出行	164728	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	623
68	北邙忆灯笼	宠物出行	164729	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	613
69	臈缬宝相花灯笼	宠物出行	164730	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	614
70	榧木壁灯	宠物出行	164731	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	617
71	银平脱灯笼	宠物出行	164732	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	656
72	了无挂碍图	宠物出行	164733	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	237
73	苗石山羊头	宠物出行	164734	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	663
74	苗石鹿头	宠物出行	164735	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	665
75	孔方摆件	宠物出行	164736	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	585
76	鸟巢	宠物出行	164737	20	1	1	1	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	586
77	兽牙坠饰	宠物出行	164738	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	670
78	七层浮屠	宠物出行	164739	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	587
79	昆山焰晶	宠物出行	164740	20	1	1	4	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	593
80	海龟甲	宠物出行	164741	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	595
81	东海珠蚌	宠物出行	164742	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	596
82	天竺式香浮屠	宠物出行	164743	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	603
83	闲散客	宠物出行	164744	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	639
84	佳曲三弄	宠物出行	164745	20	1	1	4	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	653
85	青铜阔刀	宠物出行	164746	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	658
86	陶药炉	宠物出行	164747	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	588
87	黄杨根药臼	宠物出行	164748	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	589
88	苗疆铁质大药炉	宠物出行	164749	20	1	1	2	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	594
89	夹竹桃书灯	副本投放	164927	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	208
90	狗狗祟祟屏	运营活动	164368				4		3					1	0																	21	2											1422
91	新建	默认分类	164370											1																		21												
93	葵草席	梓匠配方	164586	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	258
94	低矮木榻	梓匠配方	164587	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	400
95	桑木架	梓匠配方	164588	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	144
96	榧木架	梓匠配方	164589	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	172
97	花梨木矮柜	梓匠配方	164590	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	409
98	花梨木曲柜	梓匠配方	164591	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	411
99	赤漆铜平脱药柜	梓匠配方	164592	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	413
100	赤漆药柜	梓匠配方	164593	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	736
101	回字平脱案	梓匠配方	164594	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	456
102	赤漆案（弃用）	梓匠配方	164595	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	1	0	7	0	0	7	0	65013759	0	6	0	
103	桑木榻足几	梓匠配方	164596	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	1133
104	赤漆台案	梓匠配方	164597	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	1181
105	桐木凳	梓匠配方	164598	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	187
106	芦苇蒲团	梓匠配方	164599	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	422
107	火毛团花绣舞筵	梓匠配方	164600	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	113
108	旧时帘	梓匠配方	164601	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	767
109	故窗忆·一	梓匠配方	164602	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	768
110	故窗忆·二	梓匠配方	164603	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	769
111	桐木灯笼	梓匠配方	164604	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	451
112	木桶·一	梓匠配方	164605	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	528
113	蔑编竹篮·二	梓匠配方	164606	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	765
114	赤漆妆奁	梓匠配方	164607	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	402
115	古怪坐垫	梓匠配方	164608	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	742
116	蓝染布卷	梓匠配方	164609	20	1	1	1	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	743
117	织锦席	梓匠配方	164610	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	259
118	赤漆柜	梓匠配方	164611	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	739
119	赤漆木几	梓匠配方	164612	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	458
120	葵草台案	梓匠配方	164613	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	1453
121	葵草坐垫	梓匠配方	164614	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	184
122	桑木长凳	梓匠配方	164615	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	186
123	绮罗人物四牒屏	梓匠配方	164616	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	734
124	彩锦半拢·一	梓匠配方	164617	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	426
125	彩锦半拢·二	梓匠配方	164618	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	428
126	彩锦半拢·三	梓匠配方	164619	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	429
127	彩锦半拢·四	梓匠配方	164620	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	430
128	彩锦半拢·五	梓匠配方	164621	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	431
129	彩锦半拢·六	梓匠配方	164622	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	432
130	扁青涂花梨木书灯	梓匠配方	164623	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	205
131	桐木书灯	梓匠配方	164624	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	206
132	桐木灯檠	梓匠配方	164625	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	716
133	荼蘼灯笼	梓匠配方	164626	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	219
134	细布灯笼	梓匠配方	164627	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	448
135	悬铜铃灯笼	梓匠配方	164628	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	754
136	锡灯笼	梓匠配方	164629	20	1	1	2	1	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	2	0	7	0	0	7	0	65013759	0	6	0	1097
